state_repeat,obs_repeat,state_type,ensemble,n,num_observables,n_sample,rmse,mean_variance,max_error
0,0,ghz,clifford,3,64,25000,0.018602232392914565,8.94178412831511,0.05255999999999999
0,0,ghz,clifford,3,64,30000,0.01852570005424897,8.92998571462784,0.060899999999999996
0,0,ghz,clifford,3,64,35000,0.016409748922328993,8.926905863878241,0.04834285714285714
0,0,ghz,clifford,3,64,40000,0.01515568265690711,8.931087723101626,0.041174999999999996
0,0,ghz,clifford,3,64,45000,0.01418934459374357,8.936359748272297,0.0358
0,0,ghz,clifford,3,64,50000,0.014703742720817715,8.937381297576174,0.03852
0,0,ghz,clifford,3,64,55000,0.014156550005486905,8.935910642737902,0.04056363636363636
0,0,ghz,clifford,3,64,60000,0.013490271378849287,8.930466853691591,0.03860000000000019
0,0,ghz,clifford,3,64,65000,0.014435618521580287,8.928752295644816,0.04261538461538472
0,0,ghz,clifford,3,64,70000,0.01448449888357078,8.928481141880937,0.04425714285714277
0,0,ghz,clifford,3,64,75000,0.013692519855746049,8.923805248968359,0.04279999999999995
0,0,ghz,clifford,3,64,80000,0.012769072457535098,8.924055337418352,0.04456250000000006
0,0,ghz,clifford,3,64,85000,0.013155141448870566,8.923635602668949,0.042729411764705905
0,0,ghz,clifford,3,64,90000,0.01176846952666319,8.921579381783808,0.040100000000000025
0,0,ghz,clifford,3,64,95000,0.010384028461604529,8.92460058879819,0.035568421052631694
0,0,ghz,clifford,3,64,100000,0.009339120926912777,8.92433280540099,0.034010000000000096
0,0,ghz,seeqst,3,64,1000,0.08905932011867149,13.993561999499438,0.24
0,0,ghz,seeqst,3,64,5000,0.05220351999626081,14.165970486597576,0.1184
0,0,ghz,seeqst,3,64,10000,0.036974805611388946,14.190658179568683,0.0864
0,0,ghz,seeqst,3,64,15000,0.03256308407452286,14.159200258906468,0.08
0,0,ghz,seeqst,3,64,20000,0.02445578919192752,14.148918735311344,0.0456
0,0,ghz,seeqst,3,64,25000,0.027180559228978312,14.102765327814426,0.04544
0,0,ghz,seeqst,3,64,30000,0.02471256287577003,14.074833450349233,0.050133333333333335
0,0,ghz,seeqst,3,64,35000,0.021235059573781263,14.080067431314415,0.042057142857142855
0,0,ghz,seeqst,3,64,40000,0.019684284459626642,14.074159695438365,0.0472
0,0,ghz,seeqst,3,64,45000,0.01618091296696337,14.04838369769184,0.044088888888888886
0,0,ghz,seeqst,3,64,50000,0.012153088084927212,14.062294798348983,0.03456
0,0,ghz,seeqst,3,64,55000,0.010588451724277508,14.057641205444366,0.03345454545454545
0,0,ghz,seeqst,3,64,60000,0.009981974204924493,14.049461601220724,0.03253333333333333
0,0,ghz,seeqst,3,64,65000,0.007655015372618766,14.050968146407264,0.024615384615384615
0,0,ghz,seeqst,3,64,70000,0.008238773282721256,14.056098995453505,0.023085714285714286
0,0,ghz,seeqst,3,64,75000,0.007669114826511749,14.064462877509063,0.019626666666666667
0,0,ghz,seeqst,3,64,80000,0.00819600703086572,14.069881355235214,0.0204
0,0,ghz,seeqst,3,64,85000,0.008200045889820129,14.08290358752537,0.021082352941176472
0,0,ghz,seeqst,3,64,90000,0.008451777700359655,14.085194097387129,0.021866666666666666
0,0,ghz,seeqst,3,64,95000,0.009211227792836514,14.087319361912996,0.021052631578947368
0,0,ghz,seeqst,3,64,100000,0.008977432817905162,14.094287848571954,0.02128
0,0,random_stabilizer,pauli,3,64,1000,0.11870703169989553,16.559546311936955,0.37700000000000045
0,0,random_stabilizer,pauli,3,64,5000,0.05750683655010073,16.031799323614823,0.16199999999999998
0,0,random_stabilizer,pauli,3,64,10000,0.04876417902774535,16.21503887123025,0.13229999999999997
0,0,random_stabilizer,pauli,3,64,15000,0.04198917271154553,16.185319055646183,0.12059999999999998
0,0,random_stabilizer,pauli,3,64,20000,0.032344863507402524,16.279442000653958,0.07289999999999999
0,0,random_stabilizer,pauli,3,64,25000,0.03184472758558314,16.24209622217353,0.07236
0,0,random_stabilizer,pauli,3,64,30000,0.028551737578473225,16.23541504128295,0.0639
0,0,random_stabilizer,pauli,3,64,35000,0.02696111830971046,16.231810524829374,0.06634285714285713
0,0,random_stabilizer,pauli,3,64,40000,0.023137032553692476,16.219920566365566,0.06277499999999998
0,0,random_stabilizer,pauli,3,64,45000,0.020046967420978615,16.230878596958533,0.0534
0,0,random_stabilizer,pauli,3,64,50000,0.018394439037383026,16.209519585004827,0.05778
0,0,random_stabilizer,pauli,3,64,55000,0.018286232995036483,16.20697932012441,0.05301818181818182
0,0,random_stabilizer,pauli,3,64,60000,0.01692566006836959,16.19415217456374,0.0504
0,0,random_stabilizer,pauli,3,64,65000,0.0161233295772556,16.202890034627185,0.045276923076923076
0,0,random_stabilizer,pauli,3,64,70000,0.014749260726025764,16.204182920853427,0.0405
