state_type,ensemble,term_group,n_sample,rmse_mean,rmse_std,mean_variance_mean,mean_variance_std,max_error_mean,max_error_std,num_terms,num_repeats
neel,pauli,z_single,10,0.3570908093391546,0.16324277987303645,1.9749999999999979,0.27301471945123557,0.575,0.28722813232690136,6,4
neel,pauli,z_single,30,0.20411503289893962,0.03340765071386729,1.981896551724136,0.11721179477984818,0.3750000000000001,0.04999999999999982,6,4
neel,pauli,z_single,100,0.15325713968539845,0.026451191162851367,1.9694318181818165,0.05631642083973589,0.2650000000000002,0.029999999999999916,6,4
neel,pauli,z_single,300,0.08365372954499317,0.0165819258985921,2.0040593645484925,0.03299265522879208,0.15249999999999989,0.03862210075418807,6,4
neel,pauli,z_single,1000,0.04688785525004173,0.014726575979099016,1.9932571321321322,0.0198123406799887,0.07574999999999993,0.02194500702513764,6,4
neel,pauli,z_single,3000,0.02978875585569387,0.008825847739190804,1.9901759336445384,0.002992707625771388,0.0472500000000001,0.016049402896473466,6,4
neel,pauli,zz_long_range,10,0.6155486122377316,0.11015084186213242,8.729999999999993,1.9608161566041815,1.3499999999999992,0.4041451884327372,10,4
neel,pauli,zz_long_range,30,0.511468980515915,0.12055141072040836,7.378448275862065,1.8716726481368435,0.8999999999999997,0.33665016461206876,10,4
neel,pauli,zz_long_range,100,0.27457898806652803,0.06425344932231493,7.421727272727262,0.5618091790982108,0.5675,0.14705441169852734,10,4
neel,pauli,zz_long_range,300,0.16155749670074449,0.01795086849482724,7.966964046822737,0.577917040253599,0.28749999999999987,0.04031128874149283,10,4
neel,pauli,zz_long_range,1000,0.09138993366888344,0.023634156750970466,7.872401351351355,0.37597353137763784,0.18050000000000005,0.0605557594288108,10,4
neel,pauli,zz_long_range,3000,0.052608686658778894,0.007987581030443275,7.931403276091942,0.0814315954300033,0.10175000000000006,0.02526361019331965,10,4
neel,seeqst,hopping,10,0.0,0.0,0.0,0.0,0.0,0.0,10,4
neel,seeqst,hopping,30,2.218313736035876,1.7742085357673645,161.95678160919536,138.11409496553895,4.266666666666667,3.4837187452916316,10,4
neel,seeqst,hopping,100,0.9127167413956233,0.44719593017849224,131.40298989898983,113.76683452485102,1.6,0.6399999999999999,10,4
neel,seeqst,hopping,300,0.598418577508307,0.2377477202714739,120.1493333333333,46.4799662923764,1.0666666666666667,0.4266666666666667,10,4
neel,seeqst,hopping,1000,0.23396762307986865,0.07520240554979184,134.42424184184165,15.61450693877485,0.41600000000000004,0.16106313461910934,10,4
neel,seeqst,hopping,3000,0.17161362475296466,0.0232107069556997,125.07637016783488,10.18800092283704,0.288,0.06399999999999999,10,4
neel,seeqst,z_single,10,0.27002542889296816,0.023653078291614085,1.0296296296296297,0.014814814814814873,0.45,0.09999999999999998,6,4
neel,seeqst,z_single,30,0.19853711437063656,0.03565360360938078,0.9927203065134099,0.013571369429154746,0.35,0.06382847385042249,6,4
neel,seeqst,z_single,100,0.12733217276410388,0.04299639952635406,0.9923232323232323,0.010627079096768499,0.22499999999999998,0.08698658900466594,6,4
neel,seeqst,z_single,300,0.0775819014526312,0.015773569562183374,0.9971181716833899,0.0026215160706146478,0.14500000000000005,0.02741991706500679,6,4
neel,seeqst,z_single,1000,0.023314385337439236,0.004729026632861189,1.0004401067734465,0.00022084790039797082,0.03600000000000003,0.007118052168020881,6,4
