repeat,state_type,ensemble,n,n_sample,term_group,num_terms,rmse,mean_variance,max_error
1,ground_state,seeqst,6,1000,hopping,10,0.44491911040445004,131.13760160160115,0.8994095591112901
1,ground_state,seeqst,6,3000,z_single,6,0.019272625114734824,1.3882550479789375,0.03476855319649663
1,ground_state,seeqst,6,3000,zz_long_range,10,0.014530427911954589,1.5601858397243626,0.02363795577894967
1,ground_state,seeqst,6,3000,hopping,10,0.1947477392039658,127.71798741802579,0.41844785198995077
1,neel,pauli,6,10,z_single,6,0.2645751311064591,2.033333333333331,0.40000000000000036
1,neel,pauli,6,10,zz_long_range,10,0.7231873892705812,9.629999999999994,1.6999999999999984
1,neel,pauli,6,10,hopping,10,1.2727922061357846,10.799999999999986,2.699999999999998
1,neel,pauli,6,30,z_single,6,0.23804761428476146,2.1137931034482738,0.39999999999999947
1,neel,pauli,6,30,zz_long_range,10,0.5234500931320958,9.44068965517241,0.7999999999999996
1,neel,pauli,6,30,hopping,10,0.4449719092257394,8.17448275862068,0.8999999999999992
1,neel,pauli,6,100,z_single,6,0.14053469322555198,2.005303030303028,0.28000000000000014
1,neel,pauli,6,100,zz_long_range,10,0.24002083242918734,7.379181818181804,0.5500000000000002
1,neel,pauli,6,100,hopping,10,0.2744631122755841,9.66027272727272,0.5399999999999996
1,neel,pauli,6,300,z_single,6,0.06055300708194975,2.0364548494983254,0.10999999999999988
1,neel,pauli,6,300,zz_long_range,10,0.1381665661439119,8.379842809364547,0.31999999999999984
1,neel,pauli,6,300,hopping,10,0.17824140933015528,9.314277591973248,0.4499999999999998
1,neel,pauli,6,1000,z_single,6,0.03152776554086886,2.0060120120120097,0.04999999999999982
1,neel,pauli,6,1000,zz_long_range,10,0.09034489470910907,7.778416216216233,0.15400000000000014
1,neel,pauli,6,1000,hopping,10,0.10814989597775852,9.053156756756792,0.2069999999999999
1,neel,pauli,6,3000,z_single,6,0.02255733435788316,1.989320940313423,0.03100000000000014
1,neel,pauli,6,3000,zz_long_range,10,0.057428216061444985,7.811705901967301,0.1090000000000001
1,neel,pauli,6,3000,hopping,10,0.04966789707648189,9.25351760586874,0.08999999999999997
1,neel,clifford,6,10,z_single,6,2.4238399287081576,70.41666666666625,5.499999999999981
1,neel,clifford,6,10,zz_long_range,10,4.598912915026756,159.61111111111038,11.999999999999966
1,neel,clifford,6,10,hopping,10,2.0554804791094425,42.249999999999844,6.499999999999988
1,neel,clifford,6,30,z_single,6,1.0584754935143121,46.94444444444423,1.1666666666666634
1,neel,clifford,6,30,zz_long_range,10,2.460803843372227,135.97701149425228,5.499999999999985
1,neel,clifford,6,30,hopping,10,0.9689627902499073,28.16666666666656,2.1666666666666634
1,neel,clifford,6,100,z_single,6,0.7345633623679664,48.722643097642795,1.0
1,neel,clifford,6,100,zz_long_range,10,0.8770689824637486,78.82398989898952,2.249999999999992
1,neel,clifford,6,100,hopping,10,0.7120393247567146,42.16464646464621,1.2999999999999978
1,neel,clifford,6,300,z_single,6,0.7163112813936761,62.118961352656804,1.1666666666666625
