state_type,n,k,ensemble,pauli_index,pauli_label,true_value,empirical_mean,abs_bias,empirical_var,theory_var_bound,sample_complexity_eps,num_shots
ghz,2,1,pauli,0,IZ,0.0,-0.08,0.08,3.2444147157190546,3.0,324.4414715719054,300
ghz,2,1,pauli,1,XI,0.0,-0.009999999999999993,0.009999999999999993,2.678829431438115,3.0,267.8829431438114,300
ghz,2,1,pauli,2,IX,0.0,-0.05999999999999999,0.05999999999999999,3.006421404682278,3.0,300.64214046822775,300
ghz,2,1,pauli,3,IX,0.0,-0.05999999999999999,0.05999999999999999,3.006421404682278,3.0,300.64214046822775,300
ghz,2,1,pauli,4,ZI,0.0,-0.03,0.03,3.280033444816055,3.0,328.00334448160544,300
ghz,2,1,pauli,5,IY,0.0,0.05999999999999999,0.05999999999999999,2.765618729096994,3.0,276.56187290969933,300
ghz,2,1,clifford,0,IZ,0.0,-0.033333333333333305,0.033333333333333305,5.015607580824974,12.0,501.56075808249733,300
ghz,2,1,clifford,1,XI,0.0,-0.09999999999999998,0.09999999999999998,4.839464882943135,12.0,483.9464882943134,300
ghz,2,1,clifford,2,IX,0.0,-0.1999999999999999,0.1999999999999999,5.478260869565191,12.0,547.826086956519,300
ghz,2,1,clifford,3,IX,0.0,-0.1999999999999999,0.1999999999999999,5.478260869565191,12.0,547.826086956519,300
ghz,2,1,clifford,4,ZI,0.0,0.05,0.05,5.432274247491668,12.0,543.2274247491666,300
ghz,2,1,clifford,5,IY,0.0,0.03333333333333333,0.03333333333333333,4.848383500557419,12.0,484.8383500557418,300
ghz,2,1,seeqst,0,IZ,0.0,-0.05333333333333334,0.05333333333333334,1.7897881828316644,,178.97881828316642,300
ghz,2,1,seeqst,1,XI,0.0,-0.13333333333333333,0.13333333333333333,7.04570791527316,,704.5707915273158,300
ghz,2,1,seeqst,2,IX,0.0,0.0,0.0,8.133779264214047,,813.3779264214045,300
ghz,2,1,seeqst,3,IX,0.0,0.0,0.0,8.133779264214047,,813.3779264214045,300
ghz,2,1,seeqst,4,ZI,0.0,-0.006666666666666705,0.006666666666666705,2.127045707915276,,212.70457079152757,300
ghz,2,1,seeqst,5,IY,0.0,0.08,0.08,10.481872909699057,,1048.1872909699055,300
ghz,2,2,pauli,0,YX,0.0,-0.29999999999999993,0.29999999999999993,8.03678929765885,9.0,803.6789297658847,300
ghz,2,2,pauli,1,XX,0.9999999999999998,1.2599999999999998,0.26,9.785016722407992,9.0,978.5016722407989,300
ghz,2,2,pauli,2,YY,-0.9999999999999998,-1.1099999999999999,0.1100000000000001,8.787190635451516,9.0,878.7190635451515,300
ghz,2,2,pauli,3,YZ,0.0,-0.35999999999999993,0.35999999999999993,10.706086956521819,9.0,1070.6086956521817,300
ghz,2,2,pauli,4,XY,0.0,0.38999999999999996,0.38999999999999996,7.703578595317714,9.0,770.3578595317712,300
ghz,2,2,pauli,5,XX,0.9999999999999998,1.2599999999999998,0.26,9.785016722407992,9.0,978.5016722407989,300
ghz,2,2,clifford,0,YX,0.0,0.08333333333333333,0.08333333333333333,4.424470457079144,12.0,442.4470457079143,300
ghz,2,2,clifford,1,XX,0.9999999999999998,1.0499999999999998,0.050000000000000044,4.161371237458171,12.0,416.13712374581706,300
ghz,2,2,clifford,2,YY,-0.9999999999999998,-0.8999999999999998,0.09999999999999998,3.702341137123716,12.0,370.23411371237154,300
ghz,2,2,clifford,3,YZ,0.0,-0.14999999999999994,0.14999999999999994,5.412207357859547,12.0,541.2207357859546,300
ghz,2,2,clifford,4,XY,0.0,0.16666666666666663,0.16666666666666663,4.319955406911944,12.0,431.9955406911944,300
ghz,2,2,clifford,5,XX,0.9999999999999998,1.0499999999999998,0.050000000000000044,4.161371237458171,12.0,416.13712374581706,300
ghz,2,2,seeqst,0,YX,0.0,0.10666666666666667,0.10666666666666667,7.694269788182871,,769.426978818287,300
ghz,2,2,seeqst,1,XX,0.9999999999999998,1.0133333333333334,0.013333333333333641,7.10350055741358,,710.3500557413578,300
ghz,2,2,seeqst,2,YY,-0.9999999999999998,-1.0133333333333334,0.013333333333333641,7.10350055741358,,710.3500557413578,300
ghz,2,2,seeqst,3,YZ,0.0,-0.10666666666666667,0.10666666666666667,9.406644370122672,,940.6644370122671,300
ghz,2,2,seeqst,4,XY,0.0,0.10666666666666667,0.10666666666666667,7.694269788182871,,769.426978818287,300
ghz,2,2,seeqst,5,XX,0.9999999999999998,1.0133333333333334,0.013333333333333641,7.10350055741358,,710.3500557413578,300
ghz,3,1,pauli,0,IXI,0.0,0.04999999999999998,0.04999999999999998,3.0978260869565344,3.0,309.7826086956534,300
ghz,3,1,pauli,1,IXI,0.0,0.04999999999999998,0.04999999999999998,3.0978260869565344,3.0,309.7826086956534,300
ghz,3,1,pauli,2,IIX,0.0,-0.14999999999999997,0.14999999999999997,3.3185618729097013,3.0,331.85618729097007,300
ghz,3,1,pauli,3,IIY,0.0,0.10999999999999996,0.10999999999999996,3.1483946488294303,3.0,314.839464882943,300
ghz,3,1,pauli,4,ZII,0.0,0.10999999999999997,0.10999999999999997,3.088193979933112,3.0,308.81939799331116,300
ghz,3,1,pauli,5,IIY,0.0,0.10999999999999996,0.10999999999999996,3.1483946488294303,3.0,314.839464882943,300
ghz,3,1,clifford,0,IXI,0.0,-0.03,0.03,6.771672240802662,24.0,677.167224080266,300
ghz,3,1,clifford,1,IXI,0.0,-0.03,0.03,6.771672240802662,24.0,677.167224080266,300
ghz,3,1,clifford,2,IIX,0.0,0.11999999999999988,0.11999999999999988,9.73806020066889,24.0,973.8060200668889,300
ghz,3,1,clifford,3,IIY,0.0,-0.1799999999999998,0.1799999999999998,4.301939799331133,24.0,430.1939799331132,300
ghz,3,1,clifford,4,ZII,0.0,4.7369515717340015e-17,4.7369515717340015e-17,6.5016722408026615,24.0,650.167224080266,300
ghz,3,1,clifford,5,IIY,0.0,-0.1799999999999998,0.1799999999999998,4.301939799331133,24.0,430.1939799331132,300
ghz,3,1,seeqst,0,IXI,0.0,0.37333333333333335,0.37333333333333335,10.990590858416873,,1099.059085841687,300
ghz,3,1,seeqst,1,IXI,0.0,0.37333333333333335,0.37333333333333335,10.990590858416873,,1099.059085841687,300
ghz,3,1,seeqst,2,IIX,0.0,-0.21333333333333335,0.21333333333333335,20.502831661092596,,2050.283166109259,300
ghz,3,1,seeqst,3,IIY,0.0,0.32,0.32,15.308628762541817,,1530.8628762541814,300
ghz,3,1,seeqst,4,ZII,0.0,0.013333333333333312,0.013333333333333312,1.9529988851727942,,195.29988851727938,300
ghz,3,1,seeqst,5,IIY,0.0,0.32,0.32,15.308628762541817,,1530.8628762541814,300
ghz,3,2,pauli,0,IYY,0.0,0.26999999999999996,0.26999999999999996,7.241237458193945,9.0,724.1237458193943,300
