method,state_repeat,obs_repeat,state_type,n,num_observables,num_distinct_circuits,n_sample,rmse,mean_variance,max_error,coverage,mean_matches_per_observable
random_seeqst,7,2,ghz,10,100,,10,0.0,0.0,0.0,1.0,10.0
random_seeqst,7,2,ghz,10,100,,30,6.826666666666667,1398.1013333333321,68.26666666666667,1.0,30.0
random_seeqst,7,2,ghz,10,100,,100,3.547240053901061,1258.2911999999994,20.48,1.0,100.0
random_seeqst,7,2,ghz,10,100,,300,2.048,1258.2911999999926,6.826666666666667,1.0,300.0
random_seeqst,7,2,ghz,10,100,,1000,1.2952689296049682,2013.6018002002156,4.096,1.0,1000.0
random_seeqst,7,2,ghz,10,100,,3000,0.871570454855933,2055.1343697320885,3.4133333333333336,1.0,3000.0
random_seeqst,7,2,ghz,10,100,,10000,0.44067706452684824,2009.0783275575443,1.2288,1.0,10000.0
random_seeqst,7,2,ghz,10,100,,20000,0.349362628797071,2059.384178962779,1.2288,1.0,20000.0
random_seeqst,7,2,ghz,10,100,,30000,0.24933693259434223,2044.0301147650023,0.8874666666666666,1.0,30000.0
random_seeqst,7,2,ghz,10,100,,40000,0.2199217315319248,2031.0941237854597,0.6144,1.0,40000.0
random_seeqst,7,2,ghz,10,100,,50000,0.20594368659417556,2023.3303034045018,0.6144,1.0,50000.0
derandomized_seeqst,7,3,ghz,10,100,97.0,10,1.0,,1.0,0.1,0.1
derandomized_seeqst,7,3,ghz,10,100,97.0,30,1.0,0.0,1.0,0.26,0.3
derandomized_seeqst,7,3,ghz,10,100,97.0,100,0.87727295817052,1.2222222222222223,1.0,0.68,1.02
derandomized_seeqst,7,3,ghz,10,100,97.0,300,0.6395821961283894,0.9744186046511628,1.0,0.97,3.19
derandomized_seeqst,7,3,ghz,10,100,97.0,1000,0.32854723406877345,0.9977141693531786,1.0,1.0,10.64
derandomized_seeqst,7,3,ghz,10,100,97.0,3000,0.1942921966360659,0.9951516557702936,0.6153846153846154,1.0,31.84
derandomized_seeqst,7,3,ghz,10,100,97.0,10000,0.11039533365274148,0.9975875353793617,0.2808988764044944,1.0,106.23
derandomized_seeqst,7,3,ghz,10,100,97.0,20000,0.07253800445355518,0.9996049251881515,0.16363636363636364,1.0,211.97
derandomized_seeqst,7,3,ghz,10,100,97.0,30000,0.05581956264114289,1.000127167113163,0.1393188854489164,1.0,318.11
derandomized_seeqst,7,3,ghz,10,100,97.0,40000,0.046756841475433394,1.0002445186921143,0.11300121506682867,1.0,424.04
derandomized_seeqst,7,3,ghz,10,100,97.0,50000,0.04247610268275179,1.0001389099430593,0.0995850622406639,1.0,529.73
random_seeqst,7,3,ghz,10,100,,10,0.0,0.0,0.0,1.0,10.0
random_seeqst,7,3,ghz,10,100,,30,6.826666666666667,1398.1013333333333,68.26666666666667,1.0,30.0
random_seeqst,7,3,ghz,10,100,,100,5.016554993219949,2516.582399999999,20.48,1.0,100.0
random_seeqst,7,3,ghz,10,100,,300,2.554304776037678,1957.341866666653,6.826666666666667,1.0,300.0
random_seeqst,7,3,ghz,10,100,,1000,1.2624719878080464,1677.8055700500656,4.096,1.0,1000.0
random_seeqst,7,3,ghz,10,100,,3000,0.804852129966189,2083.2176055840673,2.048,1.0,3000.0
random_seeqst,7,3,ghz,10,100,,10000,0.4281250807883135,2000.6997868938518,1.024,1.0,10000.0
random_seeqst,7,3,ghz,10,100,,20000,0.320399111109878,2044.722780548988,0.9216,1.0,20000.0
random_seeqst,7,3,ghz,10,100,,30000,0.2687661354329365,2004.8719058284676,0.9557333333333333,1.0,30000.0
random_seeqst,7,3,ghz,10,100,,40000,0.2254544778885529,2031.0916595701353,0.6144,1.0,40000.0
