state_type,method,n_sample,rmse_mean,rmse_std,mean_variance_mean,mean_variance_std,max_error_mean,max_error_std,coverage_mean,mean_matches_per_observable_mean,num_state_repeats,num_observable_repeats
haar_random,random_seeqst,10000,0.4501099318215075,0.03416992221447187,2048.8347579337046,102.89386708141937,1.2786868992000797,0.20302055388752668,1.0,10000.0,10,10
haar_random,random_seeqst,20000,0.3205784573229892,0.021929288024182612,2039.1228911274482,75.02806893247218,0.9167101485223164,0.14582831506522503,1.0,20000.0,10,10
haar_random,random_seeqst,30000,0.26099500180505436,0.018205367580330898,2048.12096328993,58.283782806052905,0.7286686604957763,0.10490192945346445,1.0,30000.0,10,10
haar_random,random_seeqst,40000,0.22473231987611342,0.015178268092641525,2046.1607135168001,52.184997841320175,0.6242821980067196,0.09914167859792729,1.0,40000.0,10,10
haar_random,random_seeqst,50000,0.20198571569535542,0.01272497999020086,2046.2924010341612,47.581398186943424,0.5650974001308587,0.09321070523129658,1.0,50000.0,10,10
random_stabilizer,derandomized_seeqst,10,0.983153654244565,0.03126450296772455,1.0427350427350426,0.8891137817170006,1.0,0.0,0.1004,0.1058,10,10
random_stabilizer,derandomized_seeqst,30,0.958279596841746,0.024777320506393807,0.9808641975308642,0.45772883228890876,1.0,0.0,0.2677,0.3143,10,10
random_stabilizer,derandomized_seeqst,100,0.8706636999015336,0.02902064855824785,0.9832982655218472,0.17078265940021609,1.0,0.0,0.6437999999999999,1.0445,10,10
random_stabilizer,derandomized_seeqst,300,0.6470003791441508,0.027824140600454277,1.004394791786116,0.06164756036256223,1.0,0.0,0.9533,3.1337,10,10
random_stabilizer,derandomized_seeqst,1000,0.3293872590793675,0.025867625067989553,1.0001469687140332,0.02057339838422418,0.9242131202131202,0.11256368109171633,1.0,10.4374,10,10
random_stabilizer,derandomized_seeqst,3000,0.18464682234003418,0.013777618049508267,0.9985340677750035,0.005800382606431765,0.5094455265452925,0.06929440021078241,1.0,31.328699999999998,10,10
random_stabilizer,derandomized_seeqst,10000,0.09826403728212105,0.007191672517618133,0.9992688065673491,0.0030211124291689953,0.2739078560918434,0.042312444353682185,1.0,104.45360000000001,10,10
random_stabilizer,derandomized_seeqst,20000,0.0692775882915914,0.005235759422571857,0.9991861966624555,0.00295502713800118,0.1897107516539415,0.02647569905978336,1.0,208.8937,10,10
random_stabilizer,derandomized_seeqst,30000,0.05685180042255672,0.004055244452943631,0.9991208679041393,0.002898399664141272,0.1553096870092915,0.020776679680202907,1.0,313.35580000000004,10,10
random_stabilizer,derandomized_seeqst,40000,0.049326907751706485,0.003268953077451478,0.9991062549907133,0.002888888499494088,0.13617373378748335,0.01933100037738453,1.0,417.7913,10,10
random_stabilizer,derandomized_seeqst,50000,0.04447725878888781,0.0027821582780668927,0.9990731817634994,0.0028698484747042272,0.12527206005642927,0.021286088572124204,1.0,522.2728,10,10
random_stabilizer,random_seeqst,10,7.511382784314926,10.997743968260558,1761.6089333333337,2807.6181639792535,67.676,96.72019324741957,1.0,10.0,10,10
random_stabilizer,random_seeqst,30,7.148013533217234,4.194009178840529,2055.2100965517225,1557.8106712335589,53.96666666666667,27.875943713799256,1.0,30.0,10,10
random_stabilizer,random_seeqst,100,4.395746022447452,1.0956739847905834,2034.069301454544,880.7113636297585,21.504,4.48599886965945,1.0,100.0,10,10
random_stabilizer,random_seeqst,300,2.624455669232179,0.335751170842781,2085.9218436922974,492.31662060557164,9.284266666666667,3.2933079130413865,1.0,300.0,10,10
random_stabilizer,random_seeqst,1000,1.4320185029725618,0.14568781881035744,2066.5282729890037,277.68562446442047,4.75136,1.2308669484751324,1.0,1000.0,10,10
random_stabilizer,random_seeqst,3000,0.8250587694112537,0.06447696528651013,2041.0845842487968,174.83213438302377,2.4644266666666668,0.4937578982987872,1.0,3000.0,10,10
random_stabilizer,random_seeqst,10000,0.4533485699244636,0.033951371693087,2044.8057211975674,87.95807125318875,1.26976,0.20376303131160206,1.0,10000.0,10,10
random_stabilizer,random_seeqst,20000,0.31934061273974385,0.02331255678910831,2040.675847925144,64.99677206717358,0.918528,0.12558688575941154,1.0,20000.0,10,10
random_stabilizer,random_seeqst,30000,0.2615652935415864,0.016820749807242234,2044.7791097929785,53.91164739354324,0.7270399999999999,0.11247741761128237,1.0,30000.0,10,10
random_stabilizer,random_seeqst,40000,0.22446366339027934,0.015075344072504993,2046.9472942730645,43.590745736518485,0.626176,0.0920090346025044,1.0,40000.0,10,10
random_stabilizer,random_seeqst,50000,0.2008705128600924,0.014971961678028297,2044.5562536127345,37.7545184248091,0.555008,0.08179060487895079,1.0,50000.0,10,10
